name,hash
MISE_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,dfbd88879842cdbf75027fc62d5a295d08f00d734ce6fe3adfa5091dec13046e
MISE_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,58346336ea85f791ea3eafef89a29c0926f23392d74c811358dcf65682e355aa
MISE_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,51f065690dcbd1423fc5f6d181b700262f2d938cb09e724e7ebe3e50ea856106
MISS_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_50000_filter_feature_lcoe_max_35_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,51722526a71a4cd7fa5ec47fc1e95888e0dc41371429bb639ff92f5ce102c67a
MISS_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_filter_feature_lcoe_max_80_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,a93b1ec79ab2eb0fd28d23b65ad5b59217b2866c4b1e99216417e52d4dea2104
MISS_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,9e1e54f53f0cc04739012e9aa751d9c693499ed896372e3bcda7a4a3e594dc13
MISS_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,e7dad128e5f59ea6fd35d1b8e29a6a8f22681233451bceca5cceccfb7ce7ddb3
MISS_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,c61403b297f9d3025f7325b1468db24a0ba7b90c41d7b08173e81487b981fa86
MISS_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,157644dcaecc7642b64810e6ac9ac5d97188e9a037643b02aebe6c7793b9bda5
MISW_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_min_capacity_200000_filter_feature_lcoe_max_45_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,c5fec6c176e4fb717a97c262f7653daa056288042547f61f0d82206b76345617
MISW_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_200000_filter_feature_lcoe_max_35_bin_feature_lcoe_weights_mw_q_5_cluster_feature_longitude_mw_per_cluster_10000_method_agg_,8a4c04a9891d82996c23bd4a65f0dd3d0397463bef773aa642baac2e74c1db83
MISW_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,8d5d2b5dbbe201b5049ff79b8b5628ee68e7e14b2d868c48aeda879bd7c5d416
